state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib,elderly,n2
GA,30002,3160,1540,293410000,0,38260000,7069000,860,5640
GA,30004,29380,23460,4454457000,100,735965000,147354000,5490,64590
GA,30005,16370,13600,2263853000,30,349076000,60346000,2700,36680
GA,30008,13130,9980,545868000,0,39553000,8432000,1990,25700
GA,30009,9440,5630,1340722000,0,222907000,38628000,2290,18080
GA,30011,7910,6010,431387000,30,34889000,7071000,1310,16340
GA,30012,11750,9780,498340000,30,36898000,10466000,2240,23960
GA,30013,13020,9610,602511000,0,47884000,15312000,2600,25020
GA,30014,15710,12130,830937000,110,72652000,17412000,3180,31960
GA,30016,24950,20610,1045146000,40,68785000,19661000,3880,50420
GA,30017,11100,8820,789129000,0,81847000,20356000,2450,23440
GA,30019,21730,18060,1628414000,60,169313000,39662000,4120,47410
GA,30021,10390,9200,309698000,0,15024000,2618000,890,21900
GA,30022,30030,21620,4203556000,40,680907000,142699000,6310,62820
GA,30024,36270,30880,4064514000,70,574019000,133158000,6750,81610
GA,30025,4360,3170,286504000,70,28191000,8264000,1140,9120
GA,30028,13030,10210,1096454000,90,120490000,22278000,2690,28660
GA,30030,13510,9100,1810632000,30,281354000,42716000,3050,27450
GA,30032,20080,12450,722956000,0,52907000,10430000,3570,34620
GA,30033,14670,6400,1482040000,30,201380000,25907000,4080,25790
GA,30034,21320,14440,810113000,0,57199000,23015000,4850,37900
GA,30035,10040,7380,331810000,0,19557000,7288000,1800,18260
GA,30038,18740,13820,790471000,0,58805000,26396000,3240,34630
GA,30039,22530,17370,1060677000,0,80246000,24480000,3850,44310
GA,30040,33610,27320,3271947000,100,397313000,75681000,7030,75040
GA,30041,30550,24870,4225415000,100,469849000,109755000,6950,68880
GA,30043,40200,27880,2424745000,40,234782000,55735000,7250,79510
GA,30044,41070,32260,1845116000,20,140051000,28190000,6080,83580
GA,30045,18850,15640,1003452000,0,80375000,22594000,2690,39190
GA,30046,17750,13510,761392000,0,50978000,14837000,2820,34780
GA,30047,29440,22860,1836175000,30,178345000,41244000,6530,62210
GA,30052,32190,25450,1857071000,90,156961000,39415000,6230,67170
GA,30054,5220,3420,315240000,50,30090000,6357000,1420,10390
GA,30055,1480,1090,99062000,70,9291000,1666000,410,3230
GA,30056,1060,810,60969000,30,5055000,1136000,260,2300
GA,30058,26490,20240,963026000,0,61610000,24244000,4000,48920
GA,30060,16010,11950,780531000,0,80094000,15305000,2550,31060
GA,30062,30170,20960,3416994000,50,486321000,97914000,7940,62910
GA,30064,22980,14640,2462130000,50,342192000,95762000,6760,46240
GA,30066,27820,17280,2361406000,40,287516000,46734000,7030,54720
GA,30067,21560,11840,2447635000,30,373883000,126737000,3730,38460
GA,30068,15690,10820,2480910000,40,410934000,89772000,5140,33330
GA,30071,10840,8930,502108000,0,46599000,10365000,1390,22320
GA,30075,25880,17600,3956114000,60,639676000,138365000,7390,53880
GA,30076,20440,12730,2035378000,30,280923000,54857000,4870,39820
GA,30078,17250,12890,1149455000,30,120425000,28823000,4020,35210
GA,30079,1570,1030,67123000,0,5780000,706000,240,2820
GA,30080,25430,12640,2171769000,30,291088000,53067000,3640,44280
GA,30082,13120,7430,1180882000,0,151402000,29839000,2620,24780
GA,30083,25110,18620,847616000,0,53638000,13231000,3900,47380
GA,30084,18270,11660,1108026000,0,113211000,20226000,4030,35060
GA,30087,18410,11560,1245826000,40,135912000,46653000,5180,34590
GA,30088,12570,8900,445132000,0,28426000,9795000,2390,22840
GA,30092,16820,10680,1550956000,0,210632000,51238000,3290,32090
GA,30093,21880,18520,664941000,0,35429000,8331000,2020,44520
GA,30094,14760,9800,821290000,30,72472000,22145000,3780,28310
GA,30096,32580,19890,1888885000,30,201042000,46201000,5730,60360
GA,30097,21740,16040,3437350000,30,579447000,157120000,4610,46340
GA,30101,27980,20410,2378468000,60,287472000,60943000,5820,57910
GA,30102,19560,13010,1145504000,30,105393000,20095000,3750,38510
GA,30103,6210,4610,334104000,150,26939000,5413000,1230,13110
GA,30104,1990,1390,91774000,60,6263000,1009000,410,4040
GA,30105,1110,570,71073000,80,6235000,4822000,340,2110
GA,30106,10200,7220,420386000,0,29785000,6902000,1710,19140
GA,30107,7070,4560,547092000,70,54689000,17694000,1750,14670
GA,30108,3200,2300,165243000,140,12922000,2217000,740,6690
GA,30110,5500,4270,323476000,80,27896000,6672000,1150,11820
GA,30113,2410,1750,120415000,90,9132000,1514000,570,5090
GA,30114,24770,18110,1883264000,80,206001000,44108000,5850,51740
GA,30115,21070,15190,1948521000,130,233426000,49017000,5070,44680
GA,30116,9840,7480,609245000,150,60985000,15857000,2070,20630
GA,30117,13990,10100,755132000,170,70635000,18613000,2800,27610
GA,30120,18560,13570,1154141000,110,111192000,31514000,3940,37530
GA,30121,10000,6950,520721000,40,44591000,10278000,1860,19900
GA,30122,10860,7610,474328000,0,34960000,8713000,1670,20410
GA,30124,1230,740,64718000,70,5208000,743000,360,2440
GA,30125,9400,8060,415153000,180,28460000,6204000,2020,20320
GA,30126,18540,12760,1441815000,20,184909000,45385000,3050,35960
GA,30127,31350,23160,2074303000,60,208704000,54744000,6510,63510
GA,30132,19160,15200,1189259000,50,103948000,20351000,3450,40960
GA,30134,19860,15950,892401000,40,63205000,18751000,2960,40210
GA,30135,30130,22150,1740224000,50,160690000,50130000,5790,60000
GA,30137,740,490,36194000,0,2827000,381000,190,1450
GA,30139,1780,1240,84637000,80,5996000,731000,390,3670
GA,30141,10690,7420,572860000,40,47179000,10134000,1950,21110
GA,30143,11050,5560,811178000,120,85486000,16550000,4070,21460
GA,30144,24540,13840,1456284000,20,140485000,24314000,4460,44120
GA,30145,3420,2550,208792000,90,18901000,5127000,680,7180
GA,30147,1830,1370,81121000,20,5586000,738000,400,3780
GA,30148,320,160,17948000,0,1550000,178000,130,610
GA,30152,20400,14020,2065718000,40,286396000,71058000,4430,41190
