state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib
AL,0,150656530,91331580,11681200000000,1571550,1492400000000,171690000000
MA,1001,9110,3830,546775000,0,52094000,2253000
MA,1002,9510,4020,884889000,30,116791000,11335000
MA,1005,2400,1200,149295000,0,13362000,574000
MA,1007,7830,4050,620377000,40,68840000,3002000
MA,1008,650,250,45999000,20,4618000,90000
MA,1010,1940,930,149490000,30,16712000,439000
MA,1011,610,230,35116000,0,3140000,0
MA,1012,370,130,25898000,0,2519000,49000
MA,1013,10850,6080,474078000,0,34263000,1175000
MA,1020,15230,6780,771258000,0,63672000,2428000
MA,1022,1170,310,54421000,0,4559000,76000
MA,1026,500,190,30581000,0,2797000,199000
MA,1027,9930,3430,633537000,30,63266000,2979000
MA,1028,8300,4460,778528000,0,102881000,5037000
MA,1030,6050,2950,410451000,0,41100000,1791000
MA,1031,550,290,26806000,0,2073000,0
MA,1032,260,100,14989000,0,1144000,0
MA,1033,3260,1420,236027000,30,24974000,1036000
MA,1034,1010,420,73931000,0,7592000,290000
MA,1035,2850,1010,216584000,60,25793000,1384000
MA,1036,2690,1090,231749000,0,29493000,2049000
MA,1038,1370,500,111635000,20,12685000,495000
MA,1039,760,290,66499000,0,6607000,363000
MA,1040,16940,10000,787064000,0,68667000,3083000
MA,1050,1270,570,77868000,0,7188000,291000
MA,1053,920,340,71017000,0,7586000,802000
MA,1054,970,360,96138000,0,12081000,972000
MA,1056,10420,4540,695423000,20,74596000,1999000
MA,1057,4300,1830,303030000,30,32470000,895000
MA,1060,7390,2120,616412000,0,81090000,8309000
MA,1062,5660,2590,499371000,0,60775000,4010000
MA,1068,940,480,72069000,0,7339000,239000
MA,1069,4090,1740,273057000,0,29800000,979000
MA,1070,320,100,18231000,0,1678000,55000
MA,1071,800,380,50260000,0,4680000,139000
MA,1072,790,330,58327000,0,5990000,219000
MA,1073,3260,1560,284109000,30,34068000,1077000
MA,1075,8590,3450,642405000,0,72990000,3700000
MA,1077,5070,2230,396239000,40,45925000,1872000
MA,1080,1160,570,53677000,0,3961000,23000
MA,1081,840,420,48579000,0,4254000,77000
MA,1082,5100,2360,279252000,30,24686000,548000
MA,1085,19260,9440,1274662000,40,133440000,5917000
MA,1088,330,120,20719000,0,2121000,0
MA,1089,14070,7390,860507000,0,86608000,3761000
MA,1095,7450,4130,803389000,0,112275000,6570000
MA,1096,1300,490,98466000,30,10300000,569000
MA,1098,620,210,41940000,30,4153000,104000
MA,1103,1120,470,44998000,0,4186000,168000
MA,1104,10700,7730,388139000,0,23488000,1494000
MA,1105,4090,3620,103637000,0,4518000,168000
MA,1106,7590,4860,1291253000,0,219771000,17834000
MA,1107,4090,3680,137345000,0,8817000,242000
MA,1108,11900,8980,443649000,0,30108000,2027000
MA,1109,11950,9030,397937000,0,23337000,1921000
MA,1118,7550,3980,397758000,0,33603000,2186000
MA,1119,6160,3650,278305000,0,20560000,1626000
MA,1128,1500,610,88647000,0,7874000,631000
MA,1129,3760,1880,194050000,0,15851000,1076000
MA,1151,4200,3020,147228000,0,8630000,561000
MA,1201,22250,9970,1282005000,30,131030000,5827000
MA,1220,4260,1770,207078000,0,17029000,262000
MA,1222,410,170,21014000,0,1709000,0
MA,1223,1160,450,84217000,0,9862000,298000
MA,1225,1680,700,106755000,0,10313000,294000
MA,1226,3290,1520,237204000,0,26883000,1344000
MA,1230,3800,1350,339663000,20,45360000,6324000
MA,1235,1450,540,94202000,0,9356000,325000
MA,1236,840,360,51673000,0,5044000,290000
MA,1237,1540,630,110420000,20,12234000,463000
MA,1238,3100,1150,200509000,0,21323000,1044000
MA,1240,2480,790,286084000,0,41039000,6671000
MA,1245,410,120,34766000,0,4241000,470000
MA,1247,6740,2920,311308000,0,24478000,660000
MA,1253,430,130,29205000,0,2878000,86000
MA,1254,570,190,79348000,0,12232000,2130000
MA,1255,340,170,20642000,0,1724000,0
MA,1256,360,110,20546000,0,1830000,0
